Date Found,Company,Role,Location,Work Mode,Source,Job URL,Company URL,Fit Score,Route,Why It Fits,Key Needs,Recommended Pitch,Status,Date Applied,Follow-Up Date,Contact Name,Contact URL / Email,Notes,Next Action
2026-06-03,Gorgias,VP Marketing,New York City,Hybrid,Ashby,https://jobs.ashbyhq.com/gorgias/d66c6cb9-9e51-4698-9523-23f279fc5198,https://www.gorgias.com,5,In-house with agency/fractional alternative,"AI commerce company explicitly seeking a leader to elevate story, positioning, merchant education, and industry narrative.","Narrative, positioning, product marketing, AI adoption, mid-market/enterprise education","Lead with conversational commerce category narrative, AI keynote fluency, tier-1 PR, and ability to translate technical AI into market belief.",Closed,,,,,,"Application page returned Job not found on 2026-06-03; monitor if role reopens."
2026-06-03,AirOps,Head of Product Marketing,New York City or San Francisco,Hybrid,Ashby,https://jobs.ashbyhq.com/airops/05036e49-5515-4c1c-974c-f56a5dbe9c17,https://www.airops.com,5,In-house,"Role says own the narrative, connect product releases to bigger story, and shape a new category in AI-era marketing.","Category creation, narrative, positioning, launch strategy, founder/senior leadership partnership","Pitch Peter as the category-narrative builder who can pair AI-era content strategy with executive communications and launch authority.",Closed,,,,,,"Application page returned Job not found on 2026-06-03; monitor if role reopens."
2026-06-03,Pearl Health,"VP, Marketing (Systems & AI)","New York City, Boston, or Remote",Hybrid/Remote,Ashby,https://jobs.ashbyhq.com/pearlhealth/75c61f6a-ac63-47f9-9a05-f644720510b4,https://www.pearlhealth.com,5,In-house or fractional,"Healthtech plus AI-first marketing engine; strong overlap with Peter's AI and HealthTech communications portfolio.","Trust, clarity, demand, executive thought partnership, AI-first marketing systems","Lead with AI/HealthTech PR, trust-building communications, and building belief systems for complex regulated markets.",Closed,,,,,,"Application page returned Job not found on 2026-06-03; monitor if role reopens."
2026-06-03,Rwazi,Head of Marketing,Global,Remote,Ashby,https://jobs.ashbyhq.com/rwazi/73f14658-567a-4083-9f53-de81df239975,https://www.rwazi.com,5,In-house or agency/fractional,"AI data intelligence company seeking full marketing ownership, positioning, product marketing, brand authority, and market intelligence.","Market narrative, category positioning, GTM, brand authority, pipeline","Pitch as full-stack narrative/GTM leader for AI/data company with global strategy and thought-leadership chops.",Needs Peter Info,,,,,,"Live form requires LinkedIn, salary minimum, and start availability; see docs/job-agent/pending-application-fields.md."
2026-06-03,Hammerhead AI,Head of Marketing,Redwood City,On-site,Ashby,https://jobs.ashbyhq.com/hammerhead-ai/60529ef7-4e1d-467f-9b1d-dab4916844c1,https://www.hammerhead.ai,4,Agency/fractional first,"Deep-tech AI infrastructure company needs corporate narrative and technical story translation; on-site requirement makes agency angle attractive.","Market positioning, enterprise narrative, technical-to-business storytelling, demand","Pitch MOW as an immediate narrative and launch partner before or alongside first marketing hire.",Closed,,,,,,"Application page returned Job not found on 2026-06-03; consider separate founder outreach if contact found."
2026-06-03,Qdrant,Head of Marketing,"Berlin, London, Remote - US",Remote,Ashby,https://jobs.ashbyhq.com/qdrant.tech/794cf234-aa6c-4a86-88ff-8fcda654c075,https://qdrant.tech,4,In-house,"AI infrastructure/vector search company; strong AI fit, but may need more open-source/developer marketing emphasis.","Marketing function scaling, AI workflows, campaigns, product/audience proximity","Position Peter around AI infrastructure narrative, tier-1 tech media, and executive/category communications; assess devrel expectations.",Needs Peter Info,,,,,,"Live form requires LinkedIn, work country/city, salary expectation, and visa sponsorship answer; see docs/job-agent/pending-application-fields.md."
2026-06-03,GPTZero,"Head of Marketing, B2C",NYC,Hybrid,Ashby,https://jobs.ashbyhq.com/GPTZero/caa34077-8965-484e-9486-d211e1b47578,https://gptzero.me,4,In-house or agency/fractional,"Category-defining AI trust company with narrative/media DNA; hybrid NYC may be negotiable or better as strategic partner.","Narrative marketing, media strategy, trust/transparency positioning, growth","Lead with AI trust thought leadership, journalist background, tier-1 media, and keynote authority.",Needs Peter Info,,,,,,"Live form requires NYC/Toronto office confirmation and USA/Canada work authorization answer; see docs/job-agent/pending-application-fields.md."
2026-06-03,Maven AGI,Head of Marketing,Boston,Hybrid,Ashby,https://jobs.ashbyhq.com/maven-agi/5854266b-db89-4615-9fca-5b06b52d24f8,https://www.mavenagi.com,4,In-house or agency/fractional,"Enterprise GenAI/customer experience company seeks marketing owner across demand, product marketing, and brand positioning.","Brand positioning, product marketing, demand generation, enterprise AI narrative","Pitch around GenAI narrative, enterprise communications, and founder/executive launch storytelling; clarify Boston hybrid flexibility.",Closed,,,,,,"Application page returned Job not found on 2026-06-03; monitor if role reopens."
2026-06-04,Midstream Health,Head of Marketing,United States,Remote,Ashby,https://jobs.ashbyhq.com/midstream/118acb1d-a82a-4360-a7d8-39d8963a50b9,https://www.midstream.health,5,In-house with fractional alternative,"First senior marketing leader for an AI-native healthcare platform; role explicitly owns market narrative, category creation, executive thought leadership, and product marketing.","Healthcare trust, category narrative, executive thought leadership, product positioning, demand","Lead with Peter's AI and HealthTech narrative work, ability to translate complex systems for executive buyers, and track record building authority through PR and thought leadership.",Needs Peter Approval,,,,,"Ashby listing was indexed as live within the last month; direct interactive verification was blocked by browser security policy.","Review tailored draft and approve application or fractional outreach."
2026-06-04,RAD Amplify,Head of Marketing,United States,Remote,Ashby,https://jobs.ashbyhq.com/rad-intel/147b5b4b-3de6-4c98-95c5-c26554705512/,https://www.radamplify.com,5,In-house or agency/fractional,"LA-based AI marketing and media company needs a CEO-reporting leader to own positioning, category narrative, sales enablement, and thought leadership across brands and agencies.","Brand and revenue narrative, creator economy positioning, thought leadership, sales enablement, lead generation","Position Peter as an agency founder and journalist who can connect AI-powered audience intelligence to a sharper enterprise narrative and credible market authority.",Needs Peter Approval,,,Rick Song,,"RAD Amplify launched as a standalone company in February 2026; current role listing is remote and CEO-reporting.","Review tailored draft and approve direct application or CEO outreach."
2026-06-04,Cracken,Head of Marketing,USA,Remote,Ashby,https://jobs.ashbyhq.com/crackenagi/3e2179ef-6cd0-465d-adc3-d4716867a12d,https://cracken.ai,4,In-house with agency/fractional alternative,"Foundational AI cybersecurity marketing role owns company positioning, technical narrative, PR, product launches, and function building.","Cybersecurity category narrative, technical content, product launches, sales enablement, PR","Lead with Peter's generative AI security relaunch experience, technical-to-business storytelling, executive positioning, and tier-1 tech media record.",Needs Peter Approval,,,,,"Strong narrative fit; direct cybersecurity depth and hands-on demand expectations should be tested early.","Review tailored draft and approve application or fractional-first outreach."
2026-06-04,Labrynth,Head of Marketing,United States,Remote,Ashby,https://jobs.ashbyhq.com/infinity-constellation/f49a5d93-5369-4572-9f6c-1005b36c7d8d/,https://www.labrynth.ai,5,In-house,"Executive role defining a new regulatory AI category across infrastructure, energy, permitting, and compliance; explicitly requires earned media and fundraising narrative support.","Category creation, complex technical translation, earned media, investor narrative, executive positioning","Connect Peter's AI keynote authority, infrastructure and urban-development narrative work, tier-1 PR, and fundraising communications to Labrynth's red-tape-to-growth category story.",Needs Peter Approval,,,Stuart Lacey,https://www.linkedin.com/company/labrynth,"Role is remote with travel and reports to the CEO; company is active across AI infrastructure, nuclear, construction, and permitting.","Review tailored draft and approve CEO-facing application."
2026-06-04,Orum,VP of Marketing,United States,Remote,Ashby,https://jobs.ashbyhq.com/orum/9848cc72-282f-4879-ab73-7a0eec8f4505/,https://www.orum.com,4,In-house,"Remote Series B AI sales-tech role owns the unified narrative across brand, product marketing, communications, demand, and category design.","Category design, AI product narrative, PR and analyst relations, GTM, marketing leadership","Pitch Peter as the narrative-led marketing executive who can make Orum's differentiated AI story clear, credible, and commercially useful across buyers, press, partners, and sales.",Needs Peter Approval,,,,,"Strong fit on narrative and communications; role also expects deep ownership of demand generation and marketing-sourced pipeline.","Review tailored draft and approve application."
2026-06-04,Nest Health,"VP, Marketing & Communications",United States,Remote,Ashby,https://jobs.ashbyhq.com/nest-health/4d44e73b-4ca4-49b3-9036-bda28ac66656,https://www.nesthealth.com,4,In-house,"Remote healthtech executive role combines brand strategy, corporate and executive communications, product positioning, investor audiences, PR, and mission-led storytelling.","Brand stewardship, executive communications, patient and payer trust, PR, outreach leadership","Lead with Peter's HealthTech communications, trust-building narrative, executive positioning, fundraising support, and ability to align complex stakeholder audiences.",Needs Peter Approval,,,,,"Excellent communications scope; score moderated because the role also directly leads a large patient-outreach operation and conversion performance.","Review tailored draft and approve application."
2026-06-04,Wisy,Fractional CMO,Remote,Remote,Company Careers,https://wisy.ai/cmo/,https://wisy.ai,5,Fractional/agency,"Official live fractional role for an AI retail platform working directly with the CEO on brand positioning, GTM, fundraising communications, and marketing systems.","Brand positioning, category creation, AI GTM, fundraising communications, sales enablement","Pitch Man of the World Media as a fractional CMO and narrative/GTM partner who can clarify Wisy's Agentic Image Recognition category and build market authority with global CPG brands.",Needs Peter Approval,,,,,"Official company role page verified live on 2026-06-04; application links to an Airtable form.","Review tailored outreach and approve application."
2026-06-05,vCluster Labs,VP of Marketing,"Remote US, NYC, or San Francisco",Remote,Ashby,https://jobs.ashbyhq.com/vcluster/af908624-491d-4217-a6c4-1bd81a16a795,https://www.vcluster.com,5,In-house with agency/fractional alternative,"AI infrastructure company explicitly frames the VP as architect of a new category and primary storyteller for GPU/Kubernetes infrastructure.","AI infrastructure category creation, technical-to-business narrative, open-source credibility, growth, executive positioning","Lead with Peter's AI infrastructure storytelling, partner-announcement experience, category narrative, and ability to make complex technical shifts legible to enterprise buyers and press.",Needs Peter Approval,,,,,"Ashby indexed as current; direct interactive page requires JavaScript. Strong fit, but technical Kubernetes/GPU depth should be addressed with examples and a fast learning posture.","Review tailored draft and approve application or founder-facing outreach."
2026-06-05,Dataiku,Director Product Marketing,United States,Remote,Greenhouse,https://job-boards.greenhouse.io/dataiku/jobs/5994508004,https://www.dataiku.com,5,In-house,"Remote AI/ML platform role owns platform-level narrative, analyst relations, executive storytelling, AI governance positioning, and flagship launches.","Platform narrative, AI governance messaging, analyst relations, executive decks, launch strategy","Position Peter as a senior AI narrative and communications strategist who can turn Dataiku's Platform for AI Success into sharper market, analyst, executive, and field-ready messaging.",Needs Peter Approval,,,,,"Posted May 13, 2026; official Greenhouse URL found via Stripes/employbl indexing and role content verified from current job-board listing.","Review tailored draft and approve application."
2026-06-05,Replit,VP of Product Marketing,Foster City CA,Hybrid,Ashby,https://jobs.ashbyhq.com/replit/7ff74387-ff7f-4bd7-9e23-a09177f8e2a6/,https://replit.com,4,In-house,"Agentic software creation platform needs a VP to own positioning, messaging, launches, competitive intelligence, and the market story for AI-built software.","Agentic AI category narrative, technical translation, PLG plus enterprise GTM, launches, sales enablement","Lead with Peter's AI keynote authority, technical-to-mainstream translation, launch narrative, PR credibility, and ability to make agentic software creation compelling beyond developer audiences.",Needs Peter Approval,,,,,"Excellent narrative fit; score moderated by Foster City hybrid requirement of Monday/Wednesday/Friday in office and heavy PMM team-building expectations.","Review tailored draft and decide whether hybrid commute/relocation is acceptable."
2026-06-05,StackAI,VP of Marketing,New York City,Hybrid,Ashby,https://jobs.ashbyhq.com/stack-ai/5d920b51-4598-4cd0-8428-5f9cdca69253/,https://www.stack-ai.com,4,In-house with agency/fractional alternative,"Enterprise agentic workflow platform seeks VP to define category narrative, positioning, product marketing, and full marketing function while scaling pipeline.","Agentic AI category narrative, positioning, product marketing, demand engine, sales-led GTM","Pitch Peter as a narrative-led VP/CMO operator who can sharpen StackAI's agentic workflow category, translate low-code AI for enterprise buyers, and build credible authority around launches and executive POV.",Needs Peter Approval,,,,,"Strong AI/category fit; score moderated by NYC hybrid setup and explicit performance marketing/SEO/GEO requirements.","Review tailored draft and approve application or fractional-first outreach."
2026-06-05,Vapi,VP of Marketing,San Francisco,Hybrid,Ashby,https://jobs.ashbyhq.com/vapi/abd82ca2-8683-40fa-9e95-cbc2a4702e70,https://www.vapi.ai,4,In-house with agency/fractional alternative,"Voice AI platform needs VP/CMO-level owner for GTM narrative, category leadership, developer-first marketing, PLG, and enterprise pipeline.","Voice AI category creation, technical product marketing, founder partnership, PLG, enterprise story","Lead with Peter's AI speaker credibility, ability to explain new interfaces to business audiences, launch storytelling, and category narrative around voice agents as the next human-computer interface.",Needs Peter Approval,,,,,"High narrative fit; score moderated by San Francisco hybrid requirement and developer-marketing depth.","Review tailored draft and decide whether SF hybrid is realistic."
2026-06-05,Modulate,Director of Product Marketing,Somerville MA,Hybrid,Lever,https://jobs.lever.co/modulate/f56c899f-be20-400c-9fb9-e5946846711f,https://www.modulate.ai,4,In-house or agency/fractional,"Voice AI trust and safety company needs a Director to turn complex tech into brand presence, category creation, PR strategy, thought leadership, and launch narratives.","Conversational AI positioning, category creation, PR, analyst relations, product launches, trust narrative","Position Peter around AI trust storytelling, journalist-led PR judgment, technical-to-market translation, and category narrative for voice intelligence and safer online spaces.",Needs Peter Approval,,,,,"Strong Peter fit on PR/category/story; score moderated by Somerville hybrid expectation, though listing includes flexible remote options and work-from-anywhere time.","Review tailored draft and approve application or agency/fractional outreach."
2026-06-05,Intellum,Product Marketing Director,United States,Remote,LinkedIn,https://www.linkedin.com/jobs/view/product-marketing-director-at-intellum-4418518014,https://www.intellum.com,4,In-house,"Remote B2B SaaS PMM role owns positioning, narrative, category strategy, AI-native enablement systems, CEO/CMO alignment, launches, and competitive intelligence.","AI-native category positioning, executive alignment, sales enablement systems, product launches, competitive intelligence","Pitch Peter as an AI-native narrative operator who can capture founder/product thinking, turn it into living positioning and enablement systems, and make the AI reshaping of learning credible for executive buyers.",Needs Peter Approval,,,,,"Fresh LinkedIn/current job-board indexing; fit is strong on narrative and AI systems, somewhat less direct on Peter's priority sectors.","Review tailored draft and approve application."
2026-06-05,Harness,Senior Director of Product Marketing,United States,Remote,Greenhouse,https://boards.greenhouse.io/harnessinc/jobs/5033036007,https://www.harness.io,4,In-house,"Senior AI-native software delivery PMM role reports to the CMO and owns positioning, narrative, analyst relations, launches, public thought leadership, and team craft.","AI DevOps narrative, analyst relations, executive storytelling, technical buyer messaging, GTM launches","Lead with Peter's AI narrative, enterprise communications, launch strategy, analyst/media readiness, and ability to translate technical platform value into clear executive and market language.",Needs Peter Approval,,,,,"Strong seniority and remote fit; score moderated by deep DevOps/SRE/FinOps buyer expertise requirements.","Review tailored draft and approve application."
